﻿1180107184824104090	,1990	,3	,663.33333333333	,1990"	
﻿1180108021242828188	,1990	,3	,663.33333333333	,1990"	
﻿1180110105310488006	,1990	,3	,663.33333333333	,1990"	
﻿1180112101814556656	,1988	,3	,662.66666666667	,1988"	
﻿1180104203657991169	,2000	,3	,666.66666666667	,2000"	
﻿1180108131939376648	,2000	,3	,666.66666666667	,2000"	
﻿1180106192812683351	,1990	,3	,663.33333333333	,1990"	
﻿1180108084116196326	,1990	,3	,663.33333333333	,1990"	
﻿1180107154823020780	,1990	,3	,663.33333333333	,1990"	
﻿1180108121705765928	,1990	,3	,663.33333333333	,1990"	
﻿1180108140057514176	,1990	,3	,663.33333333333	,1990"	
﻿1180108162739301037	,1990	,3	,663.33333333333	,1990"	
﻿1180108222800914955	,1990	,3	,663.33333333333	,1990"	
﻿1180108235359859889	,1990	,3	,663.33333333333	,1990"	
﻿1180110022631117832	,1990	,3	,663.33333333333	,1990"	
﻿1180114103540908998	,1990	,3	,663.33333333333	,1990"	
﻿1180112124056066733	,998	,3	,332.66666666667	,998.00000000001"	
﻿1180112135533498988	,998	,3	,332.66666666667	,998.00000000001"	
﻿1180112220341095360	,998	,3	,332.66666666667	,998.00000000001"	
﻿1180113155222008111	,998	,3	,332.66666666667	,998.00000000001"	
﻿1180113192229243327	,998	,3	,332.66666666667	,998.00000000001"	
﻿1180114220049191202	,998	,3	,332.66666666667	,998.00000000001"	
﻿1180114231458813182	,998	,3	,332.66666666667	,998.00000000001"	
﻿1180115114104188229	,998	,3	,332.66666666667	,998.00000000001"	
﻿1180115135305597830	,998	,3	,332.66666666667	,998.00000000001"	
﻿1180112153843807779	,2725	,3	,908.33333333333	,2725"	
﻿1180107135726021179	,1990	,3	,663.33333333333	,1990"	
﻿1180109064923270799	,1990	,3	,663.33333333333	,1990"	
﻿1180109092459569374	,1990	,3	,663.33333333333	,1990"	
﻿1180115001254834449	,1988	,3	,662.66666666667	,1988"	
﻿1180115012849637595	,1988	,3	,662.66666666667	,1988"	
﻿1180113183503213373	,998	,3	,332.66666666667	,998.00000000001"	
﻿1180115154634687313	,998	,3	,332.66666666667	,998.00000000001"	
﻿1180116001748112758	,998	,3	,332.66666666667	,998.00000000001"	
﻿1180116073159697933	,998	,3	,332.66666666667	,998.00000000001"	
﻿1180116074332724343	,998	,3	,332.66666666667	,998.00000000001"	
﻿1180115230426149300	,998	,3	,332.66666666667	,998.00000000001"	
﻿1180116091052838528	,998	,3	,332.66666666667	,998.00000000001"	
﻿1180116152938963343	,998	,3	,332.66666666667	,998.00000000001"	
﻿1180116063446729663	,998	,3	,332.66666666667	,998.00000000001"	
﻿1180116111144963038	,998	,3	,332.66666666667	,998.00000000001"	
﻿1180116121346996111	,998	,3	,332.66666666667	,998.00000000001"	
﻿1180116120431918946	,998	,3	,332.66666666667	,998.00000000001"	
﻿1180116131801705921	,998	,3	,332.66666666667	,998.00000000001"	
﻿1180116131824721001	,998	,3	,332.66666666667	,998.00000000001"	
﻿1180116154600107780	,998	,3	,332.66666666667	,998.00000000001"	
﻿1180116165202738855	,998	,3	,332.66666666667	,998.00000000001"	
﻿1180116143852001300	,998	,3	,332.66666666667	,998.00000000001"	
﻿1180116171942192217	,998	,3	,332.66666666667	,998.00000000001"	
﻿1180116170304214399	,998	,3	,332.66666666667	,998.00000000001"	
﻿1180116113302403932	,1799	,3	,599.66666666667	,1799"	
﻿1180116190949396306	,998	,3	,332.66666666667	,998.00000000001"	
﻿1180116201539889755	,998	,3	,332.66666666667	,998.00000000001"	
﻿1180116201054787935	,998	,3	,332.66666666667	,998.00000000001"	
﻿1180116212230761568	,998	,3	,332.66666666667	,998.00000000001"	
﻿1180116140847390177	,998	,3	,332.66666666667	,998.00000000001"	
﻿1180116194157755136	,998	,3	,332.66666666667	,998.00000000001"	
﻿1180116150427802933	,998	,3	,332.66666666667	,998.00000000001"	
﻿1180116150452367797	,998	,3	,332.66666666667	,998.00000000001"	
﻿1180117133608105569	,998	,3	,332.66666666667	,998.00000000001"	
﻿1180116230112545181	,1349	,3	,449.66666666667	,1349"	
﻿1180118090903152666	,998	,3	,332.66666666667	,998.00000000001"	
﻿1180118113808506686	,998	,3	,332.66666666667	,998.00000000001"	
﻿1180118164054511010	,998	,3	,332.66666666667	,998.00000000001"	
﻿1180118174528078287	,998	,3	,332.66666666667	,998.00000000001"	
﻿1180119080239311398	,998	,3	,332.66666666667	,998.00000000001"	
﻿1180119154818453649	,998	,3	,332.66666666667	,998.00000000001"	
﻿1180119081606444292	,998	,4	,249.5	,998"	
﻿1180118205034840084	,998	,4	,249.5	,998"	
﻿1180113220902638805	,1990	,3	,663.33333333333	,1990"	
﻿1180115022101143113	,1990	,3	,663.33333333333	,1990"	
﻿1180115132542850881	,1990	,3	,663.33333333333	,1990"	
﻿1180115145017429927	,1990	,3	,663.33333333333	,1990"	
﻿1180116185808912071	,1990	,3	,663.33333333333	,1990"	
﻿1180119231910505515	,998	,4	,249.5	,998"	
﻿1180119192601621646	,998	,4	,249.5	,998"	
﻿1180121084147824774	,998	,4	,249.5	,998"	
﻿1180123134905471885	,1799	,3	,599.66666666667	,1799"	
﻿1180123225314955422	,2188	,3	,729.33333333333	,2188"	
﻿1180123223338453807	,2188	,3	,729.33333333333	,2188"	
﻿1180123220129928660	,2188	,3	,729.33333333333	,2188"	
﻿1180123221656675424	,2188	,3	,729.33333333333	,2188"	
﻿1180123222831045825	,2188	,3	,729.33333333333	,2188"	
﻿1180123203553990920	,2188	,3	,729.33333333333	,2188"	
﻿1180120154447455615	,2725	,3	,908.33333333333	,2725"	
﻿1180123215937519111	,2188	,3	,729.33333333333	,2188"	
﻿1180123220043823432	,2188	,3	,729.33333333333	,2188"	
